"","Date Sampled","Address","1st Draw","2-3 Minute","5 Minute","geometry","intersection","fips"
"456","3/1/2019","110XX S AVENUE F","1.7","< 1","< 1",c(-87.530757, 41.6953019),848,"17031520500"
"457","4/8/2019","39XX N NEWLAND AVE","1.5","2.3","1.1",c(-87.8001109, 41.9509766),1036,"17031170300"
"458","10/13/2019","33XX W HIRSCH ST","1.6","1.4","1.7",c(-87.7093463, 41.9064416),864,"17031230900"
"459","9/29/2016","93XX S OAKLEY AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.6800611, 41.7244674),247,"17031720100"
"460","8/3/2019","45XX W 79TH PL","4.3","9.8","5.1",c(-87.734346, 41.7489425),670,"17031700301"
"461","3/5/2017","41XX N LAVERGNE AVE","3.4","7.8","6.2",c(-87.7525947, 41.9553531),2543,"17031150200"
"462","11/20/2019","13XX N OAKLEY BLVD","< 1","< 1","< 1",c(-87.6846157, 41.9048644),1929,"17031241200"
"463","7/22/2019","26XX W LELAND AVE","3.8","8","3.7",c(-87.6941429, 41.9668792),1497,"17031040700"
"464","12/4/2018","93XX S LONGWOOD","18","14","5.4",c(-87.6686314, 41.7250647),247,"17031720100"
"465","6/26/2019","16XX W DIVERSEY PKWY","< 1","< 1","< 1",c(-87.6684698, 41.9324012),2539,"17031070700"
"466","6/15/2021","9XX W 86TH ST","3.4","3.4","3.7",c(-87.6461026, 41.7378536),3000,"17031711000"
"467","2/24/2022","114XX S STEWART AVE","<0.5","<0.5","<0.5",c(-87.6319736, 41.7237509),443,"17031834000"
"468","7/20/2018","13XX W ELMDALE AVE","1.9","1.9","1.4",c(-87.6630117, 41.9908887),129,"17031030200"
"469","5/28/2019","67XX N OCTAVIA AVE","2.6","2.5","1.7",c(-87.8094469, 42.0027569),1192,"17031090200"
"470","1/19/2020","12XX N STATE PKWY","< 1","< 1","< 1",c(-87.6289007, 41.9040276),2811,"17031080202"
"471","7/20/2021","62XX N FOREST GLEN AVE","1.3","6.7","2",c(-87.7399326, 41.9935828),278,"17031120300"
"472","7/20/2019","6XX E 89TH ST","3","6.9","6.9",c(-87.6094253, 41.7331383),1809,"17031440700"
"473","3/13/2020","105XX S KEDZIE AVE","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7015233, 41.7024083),1232,"17031740200"
"474","4/5/2021","59XX W SUPERIOR ST","2.4","5.4","2.9",c(-87.7724427, 41.8940704),1028,"17031251400"
"475","9/21/2021","26XX E 79th St","4.7","28","3.7",c(-87.5611896, 41.751927),561,"17031431301"
"476","11/3/2018","8XX W LILL AVE","< 1","< 1","< 1",c(-87.64922, 41.9283711),700,"17031070300"
"477","12/21/2019","50XX W DEVON AVE","4.3","7.8","< 1",c(-87.7531633, 41.9973497),2254,"17031120200"
"478","1/18/2021","46XX W WRIGHTWOOD AVE","< 1","< 1","< 1",c(-87.7417399, 41.9286861),106,"17031200200"
"479","2/9/2021","106XX S EBERHART AVE","1.5","< 1","< 1",c(-87.6114219, 41.7017556),842,"17031490902"
"480","5/7/2019","75XX W DEVON AVE","7.2","10","8.4",c(-87.8137356, 41.9973675),1899,"17031090300"
"481","9/12/2016","54XX S RIDGEWOOD CT","3.3","1.1","< 1",c(-87.5929499, 41.797903),1713,"17031410700"
"482","3/31/2019","37XX N OAKLEY AVE","3.8","4.5","1.3",c(-87.6865233, 41.9494971),132,"17031050500"
"483","5/16/2021","26XX W HADDON AVE","< 1","< 1","< 1",c(-87.6921265, 41.9023094),112,"17031242600"
"484","6/30/2019","41XX N KOLMAR AVE","8.8","11","3.9",c(-87.7420844, 41.9554452),2246,"17031160200"
"485","2/9/2020","62XX N LA CROSSE AVE","3.3","11","1.1",c(-87.7495499, 41.9936597),2254,"17031120200"
"486","8/18/2021","61XX N KILDARE AVE","4","11","3.5",c(-87.7364507, 41.9917457),278,"17031120300"
"487","2/7/2019","62XX N LEGETT","5.9","15","7.1",c(-87.7540433, 41.9938135),2254,"17031120200"
"488","9/11/2016","14XX S ABERDEEN ST","< 1","< 1","< 1",c(-87.6541683, 41.8625261),2986,"17031283800"
"489","10/20/2019","38XX N BERNARD ST","4.3","4.4","11",c(-87.7140402, 41.9501832),3096,"17031160800"
"490","8/21/2020","10XX W CATALPA AVE","< 1","< 1","< 1",c(-87.6551579, 41.9818923),1178,"17031030706"
"491","1/6/2017","54XX N LINDER AVE**","6.4","29.0","22.0",c(-87.7659633, 41.979335),1194,"17031110501"
"492","4/12/2019","54XX N MULLIGAN AVE","2.6","4","2.1",c(-87.7868934, 41.9794059),1902,"17031110300"
"493","11/6/2018","62XX N NORTHWEST HWY","< 1","< 1","< 1",c(-87.8027442, 41.994313),1193,"17031100200"
"494","2/27/2019","79XX S WHIPPLE ST","1.4","2.2","< 1",c(-87.6990342, 41.74964),2047,"17031700501"
"495","3/16/2019","105XX S UNION AVE","1.5","1.9","1.1",c(-87.6405998, 41.7032542),843,"17031491100"
"496","8/24/2020","27XX N SAINT LOUIS AVE","< 1","< 1","< 1",c(-87.7149475, 41.930276),2313,"17031220602"
"497","7/1/2019","36XX N NEVA AVE","3.3","6.8","1.7",c(-87.8060514, 41.9454258),1036,"17031170300"
"498","5/2/2019","40XX W WAVELAND AVE","< 1","< 1","< 1",c(-87.727427, 41.9481785),1685,"17031160900"
"499","2/24/2022","41XX N Kilbourn Ave","See Follow-Up Sequential Sampling Table for Results",NA,NA,c(-87.7409004, 41.9554755),2246,"17031160200"
"500","10/18/2021","34XX N AVERS AVE","4.8","6.3","4.2",c(-87.7239418, 41.9429682),1092,"17031831100"
